[0.0, 0.0]
[0.004540540540540542, 0.0010000000000000009]
[0.011675675675675679, 0.0015000000000000013]
[0.02010810810810811, -0.0010000000000000078]
[0.019027027027027025, -0.007500000000000007]
[0.016864864864864864, -0.012500000000000004]
[0.01427027027027027, -0.019000000000000003]
[0.011459459459459458, -0.02500000000000001]
[0.008216216216216213, -0.031749999999999994]
[0.005189189189189192, -0.03775000000000001]
[0.0025945945945945945, -0.04375000000000002]
[0.0017297297297297308, -0.04650000000000001]
[0.023135135135135137, -0.014750000000000006]
[0.023999999999999997, -0.02275]
[0.02572972972972973, -0.028500000000000004]
[0.031135135135135137, -0.03550000000000001]
[0.03545945945945947, -0.03750000000000001]
[0.04151351351351351, -0.03650000000000001]
[0.048432432432432435, -0.028500000000000004]
[0.05124324324324324, -0.02275]
[0.05340540540540541, -0.01725000000000001]
[0.054918918918918924, -0.011500000000000003]
[0.055351351351351344, -0.0050000000000000044]
[0.054702702702702694, 0.002250000000000002]
[0.05297297297297297, 0.005499999999999998]
[0.039351351351351344, 0.005249999999999998]
[0.031783783783783784, 0.004749999999999997]
[0.023999999999999997, 0.0037499999999999964]
